Squad,Players_used,Age,Poss,Matches,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Goals_90,Assists_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
Atlanta Utd,23,29.2,52.6,9,99,810,9.0,9,6,15,8,1,1,17,0,12.9,12.1,9.9,22.0,158,401,1.0,0.67,1.67,0.89,1.56,1.43,1.1,2.54,1.35,2.45
Austin,19,28.1,43.9,9,99,810,9.0,7,5,12,7,0,1,22,1,12.0,11.2,8.1,19.3,129,288,0.78,0.56,1.33,0.78,1.33,1.34,0.9,2.23,1.25,2.14
CF Montréal,26,24.3,54.1,9,99,810,9.0,4,3,7,4,0,0,24,0,9.8,9.8,7.2,17.0,146,390,0.44,0.33,0.78,0.44,0.78,1.08,0.8,1.88,1.08,1.88
Charlotte,19,29.1,47.6,9,99,810,9.0,15,8,23,13,2,2,14,1,12.7,11.1,8.7,19.8,152,344,1.67,0.89,2.56,1.44,2.33,1.41,0.97,2.38,1.23,2.2
Chicago Fire,23,25.9,48.7,9,99,810,9.0,16,10,26,14,2,2,17,0,15.2,13.6,10.4,24.0,128,311,1.78,1.11,2.89,1.56,2.67,1.69,1.16,2.84,1.51,2.67
Colorado Rapids,25,26.4,44.0,9,99,810,9.0,13,8,21,10,3,3,13,0,14.0,11.6,9.6,21.2,118,317,1.44,0.89,2.33,1.11,2.0,1.55,1.06,2.62,1.29,2.35
Columbus Crew,22,26.7,57.9,9,99,810,9.0,11,10,21,11,0,0,12,1,13.6,13.6,10.8,24.4,164,442,1.22,1.11,2.33,1.22,2.33,1.51,1.2,2.71,1.51,2.71
D.C. United,21,26.4,50.8,9,99,810,9.0,11,9,20,10,1,2,26,0,12.9,11.5,9.1,20.6,103,334,1.22,1.0,2.22,1.11,2.11,1.44,1.02,2.45,1.28,2.29
FC Cincinnati,23,27.5,50.2,9,99,810,9.0,13,7,20,11,2,2,17,1,11.8,10.3,7.8,18.2,167,338,1.44,0.78,2.22,1.22,2.0,1.32,0.87,2.19,1.15,2.02
FC Dallas,21,27.6,46.8,9,99,810,9.0,10,6,16,10,0,2,20,0,11.6,10.2,8.1,18.3,130,331,1.11,0.67,1.78,1.11,1.78,1.29,0.9,2.19,1.13,2.03
Houston Dynamo,23,27.7,52.8,9,99,810,9.0,8,8,16,8,0,0,22,0,8.2,8.2,6.7,15.0,136,379,0.89,0.89,1.78,0.89,1.78,0.91,0.75,1.66,0.91,1.66
Inter Miami,25,28.9,52.6,8,88,720,8.0,13,12,25,13,0,0,24,3,13.2,13.2,11.2,24.4,105,339,1.62,1.5,3.12,1.62,3.12,1.64,1.4,3.04,1.64,3.04
LA Galaxy,24,27.7,51.8,9,99,810,9.0,6,5,11,6,0,0,18,1,7.3,7.3,6.2,13.5,124,340,0.67,0.56,1.22,0.67,1.22,0.81,0.69,1.5,0.81,1.5
LAFC,23,28.8,51.4,9,99,810,9.0,13,4,17,12,1,1,16,1,11.8,11.0,8.1,19.1,149,394,1.44,0.44,1.89,1.33,1.78,1.31,0.9,2.21,1.23,2.12
Minnesota Utd,22,27.0,37.4,9,99,810,9.0,11,9,20,10,1,1,17,0,15.4,14.7,11.5,26.2,104,263,1.22,1.0,2.22,1.11,2.11,1.71,1.28,2.99,1.63,2.91
Nashville SC,21,28.9,50.0,9,99,810,9.0,12,9,21,10,2,5,12,0,15.3,11.2,9.3,20.5,121,330,1.33,1.0,2.33,1.11,2.11,1.7,1.03,2.73,1.25,2.28
NE Revolution,21,26.9,46.9,8,88,720,8.0,5,2,7,3,2,2,15,0,7.4,5.9,4.7,10.6,128,262,0.62,0.25,0.87,0.37,0.62,0.93,0.59,1.51,0.73,1.32
NY Red Bulls,23,26.9,52.3,9,99,810,9.0,10,6,16,7,3,3,19,1,12.8,10.4,8.1,18.5,130,367,1.11,0.67,1.78,0.78,1.44,1.42,0.9,2.32,1.16,2.05
NYCFC,20,26.0,52.2,9,99,810,9.0,11,5,16,10,1,2,11,1,12.3,10.7,7.3,18.0,140,379,1.22,0.56,1.78,1.11,1.67,1.37,0.81,2.18,1.19,2.0
Orlando City,23,27.5,46.1,9,99,810,9.0,15,12,27,14,1,1,21,2,14.3,13.5,11.1,24.6,123,347,1.67,1.33,3.0,1.56,2.89,1.58,1.24,2.82,1.5,2.73
Philadelphia Union,22,25.8,49.2,9,99,810,9.0,16,13,29,16,0,1,22,2,15.7,14.7,12.3,27.0,111,335,1.78,1.44,3.22,1.78,3.22,1.74,1.36,3.1,1.63,3.0
Portland Timbers,21,26.3,46.8,9,99,810,9.0,14,11,25,13,1,1,24,1,10.7,9.9,7.6,17.5,157,295,1.56,1.22,2.78,1.44,2.67,1.19,0.84,2.03,1.1,1.94
Real Salt Lake,22,25.9,54.6,9,99,810,9.0,7,5,12,7,0,0,22,2,11.4,11.4,7.5,18.9,146,341,0.78,0.56,1.33,0.78,1.33,1.27,0.84,2.11,1.27,2.11
San Diego FC,23,27.6,58.2,9,99,810,9.0,15,13,28,15,0,0,21,1,14.4,14.4,11.3,25.7,178,428,1.67,1.44,3.11,1.67,3.11,1.6,1.25,2.86,1.6,2.86
Seattle Sounders,24,28.3,55.1,9,99,810,9.0,12,11,23,12,0,0,14,0,13.6,13.6,10.7,24.3,151,435,1.33,1.22,2.56,1.33,2.56,1.51,1.19,2.7,1.51,2.7
SJ Earthquakes,24,28.6,50.2,9,99,810,9.0,19,12,31,16,3,3,16,1,20.7,18.4,14.3,32.7,168,376,2.11,1.33,3.44,1.78,3.11,2.3,1.59,3.89,2.04,3.63
Sporting KC,22,26.4,53.0,9,99,810,9.0,14,10,24,12,2,3,20,0,10.3,8.0,6.5,14.5,171,436,1.56,1.11,2.67,1.33,2.44,1.15,0.73,1.88,0.89,1.62
St. Louis,21,28.0,43.6,9,99,810,9.0,5,4,9,5,0,0,22,1,10.3,10.3,7.2,17.5,109,289,0.56,0.44,1.0,0.56,1.0,1.14,0.8,1.95,1.14,1.95
Toronto FC,25,28.6,44.3,9,99,810,9.0,8,4,12,7,1,1,16,0,6.6,5.8,4.2,9.9,132,279,0.89,0.44,1.33,0.78,1.22,0.73,0.46,1.19,0.64,1.1
Vancouver W'caps,25,25.9,54.9,9,99,810,9.0,17,12,29,17,0,1,20,0,17.3,16.6,12.3,28.8,166,457,1.89,1.33,3.22,1.89,3.22,1.92,1.36,3.29,1.84,3.2
