Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Shot,SCA_Fld,SCA_DefAct,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Shot,GCA_Fld,GCA_DefAct
Theo Corbeanu,ca CAN,"FW,MF",Toronto FC,22-354,2002,6.6,17,2.59,15,0,1,1,0,0,1,0.15,0,0,1,0,0,0,Matches
Matthew Corcoran,us USA,MF,Nashville SC,19-078,2006,1.6,2,1.22,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Carlos Coronel,py PAR,GK,NY Red Bulls,28-128,1996,10.0,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
David Costa,pt POR,"MF,FW",Portland Timbers,24-121,2001,10.3,47,4.57,35,11,1,0,0,0,7,0.68,7,0,0,0,0,0,Matches
Vitor Costa,br BRA,DF,SJ Earthquakes,30-309,1994,4.8,13,2.68,9,0,0,2,2,0,1,0.21,1,0,0,0,0,0,Matches
Brandan Craig,us USA,DF,CF Montréal,21-029,2004,1.2,1,0.84,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ben Cremaschi,us USA,"MF,FW",Inter Miami,20-065,2005,6.5,11,1.69,7,4,0,0,0,0,2,0.31,1,1,0,0,0,0,Matches
Maxime Crépeau,ca CAN,GK,Portland Timbers,30-360,1994,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Andrés Cubas,py PAR,MF,Vancouver W'caps,28-349,1996,7.9,12,1.52,11,0,0,0,0,1,1,0.13,1,0,0,0,0,0,Matches
Mauricio Cuevas,us USA,"MF,DF",LA Galaxy,22-085,2003,0.3,1,3.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Christopher Cupps,us USA,DF,Chicago Fire,16-345,2008,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Hugo Cuypers,be BEL,FW,Chicago Fire,28-088,1997,9.9,24,2.42,14,0,3,5,2,0,4,0.40,2,0,1,0,1,0,Matches
Bruno Damiani,uy URU,FW,Philadelphia Union,23-018,2002,5.3,20,3.78,15,0,0,4,1,0,2,0.38,1,0,0,1,0,0,Matches
Dagur Dan Þórhallsson,is ISL,"MF,DF",Orlando City,25-004,2000,4.4,9,2.04,8,0,0,0,1,0,1,0.23,0,0,0,0,1,0,Matches
Daniel,br BRA,GK,SJ Earthquakes,31-000,1994,9.2,3,0.33,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jesús Daniel Bueno,ve VEN,MF,Philadelphia Union,26-021,1999,0.9,2,2.20,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Héctor David Martínez,py PAR,"DF,FW",Inter Miami,27-105,1998,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Juan David Mosquera,co COL,DF,Portland Timbers,22-243,2002,5.8,8,1.37,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bode Davis,us USA,DF,Real Salt Lake,23-073,2002,5.8,14,2.42,14,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
Jake Davis,us USA,"DF,MF",Sporting KC,23-123,2002,8.0,12,1.50,9,2,1,0,0,0,2,0.25,2,0,0,0,0,0,Matches
Pedro De la Vega,ar ARG,"MF,FW",Seattle Sounders,24-088,2001,3.9,16,4.13,10,0,3,3,0,0,2,0.52,1,0,0,1,0,0,Matches
Osaze De Rosario,gy GUY,FW,Seattle Sounders,23-291,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jonathan Dean,us USA,DF,Chicago Fire,27-356,1997,4.3,10,2.33,8,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marky Delgado,us USA,MF,LAFC,29-355,1995,8.2,28,3.40,24,1,0,2,0,1,3,0.36,3,0,0,0,0,0,Matches
Patrickson Delgado,ec ECU,"FW,MF",FC Dallas,21-201,2003,3.3,5,1.50,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kévin Denkey,tg TOG,FW,FC Cincinnati,24-157,2000,9.2,22,2.38,16,0,1,2,2,1,0,0.00,0,0,0,0,0,0,Matches
Mikkel Desler,dk DEN,DF,Austin,30-076,1995,2.6,6,2.27,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Djibril Diani,fr FRA,MF,Charlotte,27-084,1998,2.4,6,2.45,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jefferson Díaz,co COL,DF,Minnesota Utd,24-152,2000,6.7,11,1.64,10,0,0,1,0,0,2,0.30,2,0,0,0,0,0,Matches
Luis Díaz,cr CRC,"FW,MF",NE Revolution,26-151,1998,1.0,5,4.79,2,0,0,1,2,0,1,0.96,0,0,0,1,0,0,Matches
Hamady Diop,sn SEN,DF,San Diego FC,22-334,2002,2.2,8,3.67,7,0,0,1,0,0,1,0.46,1,0,0,0,0,0,Matches
Innocent Dje,ci CIV,MF,Chicago Fire,22-001,2003,1.1,1,0.92,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Derek Dodson,us USA,"DF,MF",D.C. United,26-184,1998,2.0,6,2.93,4,0,2,0,0,0,1,0.49,1,0,0,0,0,0,Matches
Maxime Dominguez,ch SUI,MF,Toronto FC,29-094,1996,1.4,2,1.41,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ronald Donkor,ml MLI,MF,NY Red Bulls,20-167,2004,1.1,2,1.87,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Christopher Donovan,us USA,FW,Philadelphia Union,24-271,2000,1.5,8,5.45,5,0,0,1,2,0,2,1.36,2,0,0,0,0,0,Matches
Griffin Dorsey,us USA,DF,Houston Dynamo,26-062,1999,10.9,18,1.65,16,0,2,0,0,0,3,0.27,3,0,0,0,0,0,Matches
C.J. dos Santos,us USA,GK,San Diego FC,24-255,2000,11.0,2,0.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Hassani Dotson,us USA,MF,Minnesota Utd,27-273,1997,4.1,8,1.94,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Souleyman Doumbia,ci CIV,DF,Charlotte,28-224,1996,3.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Anders Dreyer,dk DEN,FW,San Diego FC,27-004,1998,10.6,48,4.52,30,10,3,3,2,0,7,0.66,5,2,0,0,0,0,Matches
Nicolás Dubersarsky,ar ARG,MF,Austin,20-136,2004,0.8,2,2.43,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Erik Duenas,us USA,"MF,FW",Houston Dynamo,20-200,2004,0.8,3,3.75,3,0,0,0,0,0,1,1.25,1,0,0,0,0,0,Matches
Morris Duggan,de GER,DF,Minnesota Utd,24-194,2000,6.4,6,0.94,6,0,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
Bryce Duke,us USA,"MF,FW",CF Montréal,24-067,2001,4.7,18,3.82,10,2,1,3,2,0,0,0.00,0,0,0,0,0,0,Matches
Kyle Duncan,us USA,DF,NY Red Bulls,27-271,1997,2.0,2,1.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Chris Durkin,us USA,"MF,FW",St. Louis,25-087,2000,3.8,3,0.80,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jeremy Ebobisse,us USA,FW,LAFC,28-081,1997,2.8,6,2.13,3,0,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Daniel Edelman,us USA,MF,NY Red Bulls,22-008,2003,6.9,10,1.45,8,0,0,0,2,0,1,0.14,1,0,0,0,0,0,Matches
Earl Edwards Jr.,us USA,GK,SJ Earthquakes,33-102,1992,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matthew Edwards,us USA,DF,Atlanta Utd,22-078,2003,4.8,13,2.68,13,0,0,0,0,0,1,0.21,1,0,0,0,0,0,Matches
Michael Edwards,us USA,DF,Colorado Rapids,24-160,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Raheem Edwards,ca CAN,DF,NY Red Bulls,29-295,1995,3.9,8,2.05,6,1,0,0,1,0,2,0.51,1,0,0,0,1,0,Matches
Noah Eile,se SWE,DF,NY Red Bulls,22-291,2002,10.5,15,1.43,14,0,1,0,0,0,1,0.10,1,0,0,0,0,0,Matches
Jack Elliott,eng ENG,DF,Chicago Fire,29-254,1995,10.0,7,0.70,5,0,0,2,0,0,3,0.30,1,0,0,2,0,0,Matches
Emeka Eneli,us USA,MF,Real Salt Lake,25-200,1999,9.5,25,2.63,18,1,3,1,2,0,1,0.11,1,0,0,0,0,0,Matches
Lukas Engel,dk DEN,DF,FC Cincinnati,26-143,1998,10.3,23,2.25,20,0,1,2,0,0,3,0.29,2,0,0,1,0,0,Matches
Boris Enow,cm CMR,MF,D.C. United,25-037,2000,5.6,11,1.96,9,0,1,0,0,1,1,0.18,0,0,0,0,0,1,Matches
Ramiro Enrique,ar ARG,"FW,MF",Orlando City,24-002,2001,2.3,2,0.87,2,0,0,0,0,0,1,0.44,1,0,0,0,0,0,Matches
Franco Escobar,ar ARG,DF,Houston Dynamo,30-074,1995,8.9,10,1.13,7,2,0,0,1,0,1,0.11,1,0,0,0,0,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Cristian Espinoza,ar ARG,"DF,MF",SJ Earthquakes,30-033,1995,11.0,80,7.27,52,22,4,1,1,0,11,1.00,7,3,0,0,1,0,Matches
Derrick Etienne,ht HAI,FW,Toronto FC,28-162,1996,3.1,3,0.97,3,0,0,0,0,0,1,0.32,1,0,0,0,0,0,Matches
Evander,br BRA,"MF,FW",FC Cincinnati,26-331,1998,8.0,38,4.75,22,5,4,1,6,0,4,0.50,1,0,1,0,2,0,Matches
Diego Fagúndez,uy URU,"FW,MF",LA Galaxy,30-081,1995,9.9,38,3.83,27,9,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Maximiliano Falcón,uy URU,DF,Inter Miami,28-005,1997,4.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marco Farfan,us USA,DF,FC Dallas,26-175,1998,5.2,7,1.35,5,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Logan Farrington,us USA,FW,FC Dallas,23-143,2001,5.7,10,1.75,7,0,0,1,2,0,1,0.17,1,0,0,0,0,0,Matches
Mohamed Farsi,dz ALG,"DF,MF",Columbus Crew,25-141,1999,8.9,27,3.04,25,1,0,1,0,0,5,0.56,5,0,0,0,0,0,Matches
Ilay Feingold,il ISR,"DF,FW",NE Revolution,20-256,2004,9.0,16,1.78,12,1,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Joaquín Fernández,es ESP,DF,Sporting KC,28-340,1996,6.2,3,0.49,3,0,0,0,0,0,2,0.32,2,0,0,0,0,0,Matches
Julián Fernández,ar ARG,"FW,MF",NYCFC,21-123,2004,5.6,19,3.39,17,0,0,2,0,0,2,0.36,2,0,0,0,0,0,Matches
Omir Fernandez,us USA,"MF,FW",Colorado Rapids,26-087,1999,2.0,13,6.43,11,0,1,1,0,0,2,0.99,2,0,0,0,0,0,Matches
Omir Fernandez,us USA,"MF,FW",Portland Timbers,26-087,1999,0.4,1,2.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jesús Ferreira,us USA,"FW,MF",Seattle Sounders,24-133,2000,7.3,22,3.01,20,0,0,2,0,0,4,0.55,3,0,0,1,0,0,Matches
Nicolas Fleuriau,ca CAN,"DF,FW",Vancouver W'caps,22-350,2002,0.1,3,33.75,0,0,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches
Deybi Flores,hn HON,MF,Toronto FC,28-324,1996,7.7,9,1.16,9,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
Gilberto Flores,py PAR,DF,FC Cincinnati,22-035,2003,6.6,6,0.91,4,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
Max Floriani,us USA,DF,SJ Earthquakes,22-089,2003,1.8,2,1.10,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
CJ Fodrey,us USA,"FW,MF",Austin,21-085,2004,0.7,5,7.38,4,0,1,0,0,0,1,1.48,1,0,0,0,0,0,Matches
Mamadou Fofana,ml MLI,DF,NE Revolution,27-105,1998,9.9,4,0.40,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Emil Forsberg,se SWE,MF,NY Red Bulls,33-195,1991,10.7,36,3.38,23,8,0,1,4,0,4,0.38,3,0,0,1,0,0,Matches
Ajani Fortune,tt TRI,"MF,FW",Atlanta Utd,22-127,2002,4.0,17,4.20,13,1,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
Jimer Fory,co COL,"DF,MF",Portland Timbers,22-347,2002,8.6,8,0.93,6,2,0,0,0,0,2,0.23,1,1,0,0,0,0,Matches
Kobe Franklin,ca CAN,DF,Toronto FC,21-361,2003,0.6,2,3.16,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ian Fray,us USA,DF,Inter Miami,22-248,2002,4.7,5,1.06,2,0,1,0,2,0,1,0.21,1,0,0,0,0,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Wayne Frederick,tt TRI,MF,Colorado Rapids,20-327,2004,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alexander Freeman,us USA,DF,Orlando City,20-270,2004,10.4,27,2.60,24,0,1,2,0,0,1,0.10,1,0,0,0,0,0,Matches
Matt Freese,us USA,GK,NYCFC,26-246,1998,11.0,2,0.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Stefan Frei,ch SUI,GK,Seattle Sounders,39-016,1986,10.0,1,0.10,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Julian Gaines,us USA,FW,Nashville SC,22-182,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jeffrey Gal,us USA,GK,Chicago Fire,32-030,1993,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jon Gallagher,ie IRL,DF,Austin,29-072,1996,8.4,11,1.30,10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pedro Gallese,pe PER,GK,Orlando City,35-072,1990,10.0,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ignatius Ganago,cm CMR,"FW,MF",NE Revolution,26-079,1999,9.3,13,1.39,10,0,0,1,1,1,3,0.32,2,0,0,0,1,0,Matches
Carlos Garcés,co COL,DF,LA Galaxy,23-207,2001,7.6,5,0.66,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Manu García,es ESP,MF,Sporting KC,27-124,1998,10.4,42,4.05,24,5,5,2,4,2,8,0.77,4,0,0,2,1,1,Matches
Ryan Gauld,sct SCO,FW,Vancouver W'caps,29-141,1995,2.2,10,4.55,6,3,0,1,0,0,1,0.45,1,0,0,0,0,0,Matches
Dániel Gazdag,hu HUN,"MF,FW",Philadelphia Union,29-065,1996,5.5,22,4.01,19,0,0,0,2,1,3,0.55,3,0,0,0,0,0,Matches
Dániel Gazdag,hu HUN,"FW,MF",Columbus Crew,29-065,1996,2.5,10,4.00,9,0,0,0,1,0,2,0.80,1,0,0,0,1,0,Matches
Owen Géne,fr FRA,"MF,FW",Minnesota Utd,22-048,2003,1.1,1,0.88,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joran Gerbet,fr FRA,MF,Orlando City,23-310,2001,4.3,6,1.38,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Carles Gil,es ESP,MF,NE Revolution,32-165,1992,10.0,53,5.32,32,10,5,1,4,1,3,0.30,1,0,0,0,2,0,Matches
Blake Gillingham,us USA,GK,Houston Dynamo,22-207,2002,3.3,1,0.31,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Olivier Giroud,fr FRA,FW,LAFC,38-218,1986,4.6,12,2.60,9,0,0,1,2,0,3,0.65,1,0,0,1,1,0,Matches
Dennis Gjengaar,no NOR,"FW,MF",NY Red Bulls,21-071,2004,3.3,3,0.92,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Justen Glad,us USA,DF,Real Salt Lake,28-067,1997,10.0,11,1.10,8,0,0,1,2,0,1,0.10,0,0,0,0,1,0,Matches
Omari Glasgow,gy GUY,"DF,FW",Chicago Fire,21-165,2003,5.3,11,2.07,9,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Ian Glavinovich,ar ARG,DF,Philadelphia Union,23-191,2001,2.9,1,0.35,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jakob Glesnes,no NOR,DF,Philadelphia Union,31-042,1994,11.0,8,0.73,6,1,0,1,0,0,1,0.09,0,1,0,0,0,0,Matches
Aníbal Godoy,pa PAN,MF,San Diego FC,35-085,1990,8.0,16,2.01,13,0,0,0,3,0,4,0.50,2,0,0,0,2,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Yeimar Gómez Andrade,co COL,DF,Seattle Sounders,32-310,1992,9.9,2,0.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nicksoen Gomis,fr FRA,DF,Toronto FC,23-052,2002,5.3,2,0.38,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Diogo Gonçalves,pt POR,"FW,MF",Real Salt Lake,28-089,1997,9.2,30,3.27,19,4,1,5,1,0,4,0.44,3,0,0,1,0,0,Matches
Omar Gonzalez,us USA,"DF,MF",Chicago Fire,36-207,1988,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Zavier Gozo,us USA,FW,Real Salt Lake,18-045,2007,2.9,8,2.78,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Owen Graham Roache,ca CAN,FW,CF Montréal,17-084,2008,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tayvon Gray,jm JAM,DF,NYCFC,22-260,2002,2.4,6,2.50,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Julian Gressel,us USA,MF,Minnesota Utd,31-141,1993,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yuri Guboglo,ht HAI,"DF,MF",CF Montréal,18-047,2007,5.1,7,1.36,6,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Colin Guske,us USA,"FW,MF",Orlando City,18-097,2007,0.1,1,15.00,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Brian Gutiérrez,us USA,MF,Chicago Fire,21-323,2003,6.1,29,4.72,22,0,2,3,0,2,2,0.33,1,0,0,1,0,0,Matches
Andrew Gutman,us USA,DF,Chicago Fire,28-216,1996,9.7,20,2.05,17,1,0,1,1,0,4,0.41,3,0,0,0,1,0,Matches
Brad Guzan,us USA,GK,Atlanta Utd,40-239,1984,11.0,2,0.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Justin Haak,us USA,"DF,MF",NYCFC,23-236,2001,10.7,6,0.56,6,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
Taha Habroune,us USA,"MF,FW",Columbus Crew,19-090,2006,0.4,1,2.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alexander Hack,de GER,DF,NY Red Bulls,31-240,1993,5.4,9,1.68,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Teenage Hadebe,zw ZIM,DF,FC Cincinnati,29-231,1995,3.3,1,0.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nick Hagglund,us USA,DF,FC Cincinnati,32-234,1992,5.5,3,0.55,3,0,0,0,0,0,1,0.18,1,0,0,0,0,0,Matches
Maren Haile-Selassie,ch SUI,"FW,MF",Chicago Fire,26-054,1999,1.8,7,3.89,7,0,0,0,0,0,2,1.11,2,0,0,0,0,0,Matches
Belal Halbouni,sy SYR,DF,Vancouver W'caps,25-128,1999,0.1,1,18.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Julian Hall,us USA,"MF,FW",NY Red Bulls,17-043,2008,1.9,3,1.62,1,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Bret Halsey,us USA,DF,FC Cincinnati,24-339,2000,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nicholas Hansen,dk DEN,GK,Colorado Rapids,23-300,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ian Harkes,us USA,MF,SJ Earthquakes,30-037,1995,9.3,26,2.80,24,0,0,1,0,1,3,0.32,3,0,0,0,0,0,Matches
Cameron Harper,us USA,"DF,FW",NY Red Bulls,23-168,2001,3.5,9,2.57,5,0,2,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Nathan Harriel,us USA,"DF,MF",Philadelphia Union,24-013,2001,6.5,6,0.93,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alex Harris,us USA,MF,Colorado Rapids,20-079,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Calvin Harris,eng ENG,"FW,MF",Colorado Rapids,25-047,2000,1.6,3,1.89,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Marcel Hartel,de GER,MF,St. Louis,29-107,1996,10.9,42,3.85,25,12,0,4,1,0,1,0.09,1,0,0,0,0,0,Matches
